year,day_type,usertype,duration_bin,count,period,bin_start
2023,Weekend,Customer,4-6,10974,Post-Pandemic (2023),4
2023,Weekend,Customer,6-8,17534,Post-Pandemic (2023),6
2023,Weekend,Customer,8-10,21851,Post-Pandemic (2023),8
2023,Weekend,Customer,10-12,23309,Post-Pandemic (2023),10
2023,Weekend,Customer,12-14,23121,Post-Pandemic (2023),12
2023,Weekend,Customer,14-16,22258,Post-Pandemic (2023),14
2023,Weekend,Customer,16-18,21090,Post-Pandemic (2023),16
2023,Weekend,Customer,18-20,19505,Post-Pandemic (2023),18
2023,Weekend,Customer,20-22,17880,Post-Pandemic (2023),20
2023,Weekend,Customer,22-24,16599,Post-Pandemic (2023),22
2023,Weekend,Customer,24-26,15297,Post-Pandemic (2023),24
2023,Weekend,Customer,26-28,14151,Post-Pandemic (2023),26
2023,Weekend,Customer,28-30,12598,Post-Pandemic (2023),28
2023,Weekend,Customer,30-32,10023,Post-Pandemic (2023),30
2023,Weekend,Customer,32-34,7769,Post-Pandemic (2023),32
2023,Weekend,Customer,34-36,6732,Post-Pandemic (2023),34
2023,Weekend,Customer,36-38,6027,Post-Pandemic (2023),36
2023,Weekend,Customer,38-40,5261,Post-Pandemic (2023),38
2023,Weekend,Customer,40-42,4723,Post-Pandemic (2023),40
2023,Weekend,Customer,42-44,4172,Post-Pandemic (2023),42
2023,Weekend,Customer,44-46,3692,Post-Pandemic (2023),44
2023,Weekend,Customer,46-48,3364,Post-Pandemic (2023),46
2023,Weekend,Customer,48-50,3101,Post-Pandemic (2023),48
2023,Weekend,Customer,50-52,2836,Post-Pandemic (2023),50
2023,Weekend,Customer,52-54,2527,Post-Pandemic (2023),52
2023,Weekend,Customer,54-56,2439,Post-Pandemic (2023),54
2023,Weekend,Customer,56-58,2196,Post-Pandemic (2023),56
2023,Weekend,Customer,58-60,2178,Post-Pandemic (2023),58
2023,Weekend,Subscriber,0-2,5704,Post-Pandemic (2023),0
2023,Weekend,Subscriber,2-4,38937,Post-Pandemic (2023),2
2023,Weekend,Subscriber,4-6,71491,Post-Pandemic (2023),4
2023,Weekend,Subscriber,6-8,75826,Post-Pandemic (2023),6
2023,Weekend,Subscriber,8-10,65666,Post-Pandemic (2023),8
2023,Weekend,Subscriber,10-12,53911,Post-Pandemic (2023),10
2023,Weekend,Subscriber,12-14,44972,Post-Pandemic (2023),12
2023,Weekend,Subscriber,14-16,37405,Post-Pandemic (2023),14
2023,Weekend,Subscriber,16-18,30287,Post-Pandemic (2023),16
2023,Weekend,Subscriber,18-20,25767,Post-Pandemic (2023),18
2023,Weekend,Subscriber,20-22,20554,Post-Pandemic (2023),20
2023,Weekend,Subscriber,22-24,16685,Post-Pandemic (2023),22
2023,Weekend,Subscriber,24-26,14045,Post-Pandemic (2023),24
2023,Weekend,Subscriber,26-28,11711,Post-Pandemic (2023),26
2023,Weekend,Subscriber,28-30,9666,Post-Pandemic (2023),28
2023,Weekend,Subscriber,30-32,7980,Post-Pandemic (2023),30
2023,Weekend,Subscriber,32-34,6544,Post-Pandemic (2023),32
2023,Weekend,Subscriber,34-36,5537,Post-Pandemic (2023),34
2023,Weekend,Subscriber,36-38,4790,Post-Pandemic (2023),36
2023,Weekend,Subscriber,38-40,3955,Post-Pandemic (2023),38
2023,Weekend,Subscriber,40-42,3359,Post-Pandemic (2023),40
2023,Weekend,Subscriber,42-44,2823,Post-Pandemic (2023),42
2023,Weekend,Subscriber,44-46,1986,Post-Pandemic (2023),44
2023,Weekend,Subscriber,46-48,1263,Post-Pandemic (2023),46
2023,Weekend,Subscriber,48-50,967,Post-Pandemic (2023),48
2023,Weekend,Subscriber,50-52,893,Post-Pandemic (2023),50
2023,Weekend,Subscriber,52-54,646,Post-Pandemic (2023),52
2023,Weekend,Subscriber,54-56,591,Post-Pandemic (2023),54
2023,Weekend,Subscriber,56-58,553,Post-Pandemic (2023),56
2023,Weekend,Subscriber,58-60,498,Post-Pandemic (2023),58
